Product_ID,Parent_ID,Category,Category_Slug,Name,Product_Slug,Price,Sale_Price,Volume_Size,Is_Skincare,Skin_Type_Target,Main_Concern,Key_Ingredients,Description_Short,How_To_Use,Status,Stock_Quantity,Full_Description,Description_Images,Thumbnail_Images,Gallery_Images
PRD-SK-COL-01,LINE-COL,Skincare,mask,Collagen Core Glow Mask,collagen-core-glow-mask,29.00,21.00,80ml,TRUE,"Mature, Dull","Lifting, Bubble Peeling","Vegan Collagen, Glutathione",A no-wash bubble mask that provides a peeling effect and lifting glow.,Shake can. Dispense foam into hands and apply to face. Let bubbles absorb (do not rinse). Follow with makeup.,Out of Stock,0,"A no-wash aesthetic bubble mask. Dispenses rich bubbles containing Vegan Collagen and Glutathione that gently exfoliate dead skin cells and infuse elasticity. Provides a ""lifting"" effect and instant glass-skin glow in just 5 minutes.",[],assets/images/products/PRD-SK-COL-01/Main-Images/thumb.webp,[]
PRD-SK-COL-02,LINE-COL,Skincare,eye-cream,Collagen Lifting Eye Cream,collagen-lifting-eye-cream,30.00,22.00,15ml,TRUE,"Mature, Dry","Wrinkles, Dark Circles","Plant Collagen, Retinol",Features a cooling metal applicator to depuff eyes and firm up fine lines instantly.,Squeeze a small amount and use the metal tip to massage around the eye contours in upward motions.,In Stock,9999,"A premium eye cream featuring a cooling metal applicator tip. Infused with Plant Collagen, Retinol, and Peptides to firm up the eye area, reduce puffiness, and smooth out fine lines. The applicator allows for a hygienic and relaxing massage.","[""assets/images/products/PRD-SK-COL-02/Description-Images/1.webp"",""assets/images/products/PRD-SK-COL-02/Description-Images/2.webp"",""assets/images/products/PRD-SK-COL-02/Description-Images/3.webp"",""assets/images/products/PRD-SK-COL-02/Description-Images/4.webp"",""assets/images/products/PRD-SK-COL-02/Description-Images/5.webp"",""assets/images/products/PRD-SK-COL-02/Description-Images/6.webp""]",assets/images/products/PRD-SK-COL-02/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-COL-02/Main-Images/1.webp"",""assets/images/products/PRD-SK-COL-02/Main-Images/2.webp"",""assets/images/products/PRD-SK-COL-02/Main-Images/3.webp"",""assets/images/products/PRD-SK-COL-02/Main-Images/4.webp"",""assets/images/products/PRD-SK-COL-02/Main-Images/5.webp"",""assets/images/products/PRD-SK-COL-02/Main-Images/6.webp""]"
PRD-SK-MILK-01,LINE-MILK,Skincare,toner,Milk Skin Toner,milk-skin-toner,28.00,19.50,150ml,TRUE,"Dry, Combination","Glass Skin, Hydration","Rice Bran Extract, Niacinamide","Viral Product. A highly concentrated toner that gives instant ""Glass Skin"" glow.",Pour into palms and pat into skin (7-skin method recommended). Or use as a toner mask with cotton pads.,In Stock,9999,"The viral ""Glass Skin"" toner. A highly concentrated formula with Rice Bran Extract, Niacinamide, and Ceramides. It combines the hydration of a cream with the lightweight absorption of a toner. Instantly brightens dull skin and strengthens the moisture barrier.","[""assets/images/products/PRD-SK-MILK-01/Description-Images/1.webp"",""assets/images/products/PRD-SK-MILK-01/Description-Images/2.webp"",""assets/images/products/PRD-SK-MILK-01/Description-Images/3.webp"",""assets/images/products/PRD-SK-MILK-01/Description-Images/4.webp"",""assets/images/products/PRD-SK-MILK-01/Description-Images/5.webp"",""assets/images/products/PRD-SK-MILK-01/Description-Images/6.webp""]",assets/images/products/PRD-SK-MILK-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-MILK-01/Main-Images/1.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/2.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/3.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/4.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/5.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/6.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/7.webp"",""assets/images/products/PRD-SK-MILK-01/Main-Images/8.webp""]"
PRD-SK-MILK-02,LINE-MILK,Skincare,ampoule,Ceramic Milk Ampoule,ceramic-milk-ampoule,35.00,28.00,30ml,TRUE,"Dry, Dull","Barrier Repair, Glow","Vegan Milk Complex, Squalane",Correction: A triple-layer oil-moisture ampoule for deep hydration and porcelain glow.,Shake well to mix oil and moisture layers. Apply 2-3 drops and massage into the face.,In Stock,9999,A triple-layer oil-moisture ampoule that mimics the skin's lipid structure. Contains Vegan Milk Complex and Squalane to provide deep nourishment and a porcelain-like glow. Shake well to mix the layers before use to unlock comprehensive hydration.,"[""assets/images/products/PRD-SK-MILK-02/Description-Images/1.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/2.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/3.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/4.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/5.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/6.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/7.webp"",""assets/images/products/PRD-SK-MILK-02/Description-Images/8.webp""]",assets/images/products/PRD-SK-MILK-02/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-MILK-02/Main-Images/1.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/2.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/3.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/4.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/5.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/6.webp"",""assets/images/products/PRD-SK-MILK-02/Main-Images/7.webp""]"
PRD-SK-OIL-01,LINE-OIL,Skincare,facial-oil,Organic Jojoba Oil,organic-jojoba-oil,25.00,18.00,30ml,TRUE,"Dry, All Types","Deep Hydration, Multi-use",Organic Jojoba Oil,"100% pure organic oil that mimics human sebum. Use on face, body, or mix with foundation for glow.",Massage 1-2 drops onto face. Can be mixed with foundation for an extra glowy finish.,In Stock,9999,"100% pure, cold-pressed Organic Jojoba Oil. Its molecular structure is similar to human sebum, allowing it to penetrate deeply without clogging pores. A multi-use savior for dry patches, cuticles, and split ends.",[],assets/images/products/PRD-SK-OIL-01/Main-Images/thumb.webp,[]
PRD-SK-SOS-01,LINE-SOS,Skincare,serum,SOS Serum,sos-serum,35.00,25.00,50ml,TRUE,"Sensitive, Acne-Prone","Calming, Redness","Centella Asiatica, Panthenol",An emergency rescue serum that instantly soothes irritated and red skin.,Apply after toner. Focus on areas with redness or breakouts. Safe for use morning and night.,In Stock,9999,"An emergency rescue serum for irritated skin. Packed with Polyglutamic Acid (holds 5x more moisture than Hyaluronic Acid) and Centella Asiatica to instantly calm redness and soothe inflammation. Features a lightweight, non-sticky texture.",[],assets/images/products/PRD-SK-SOS-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-SOS-01/Main-Images/1.webp"",""assets/images/products/PRD-SK-SOS-01/Main-Images/2.webp"",""assets/images/products/PRD-SK-SOS-01/Main-Images/3.webp"",""assets/images/products/PRD-SK-SOS-01/Main-Images/4.webp"",""assets/images/products/PRD-SK-SOS-01/Main-Images/5.webp""]"
PRD-SK-BALM-01,LINE-BALM,Skincare,cleanser,Hydro Boost Enzyme Cleansing Balm,hydro-boost-enzyme-cleansing-balm,25.00,18.00,50ml,TRUE,"All Types, Sensitive","Makeup Removal, Pore Care","Plant Enzymes, Vegetable Oil",Sherbet-texture balm that melts away heavy makeup and blackheads.,Massage onto dry face to melt makeup. Add water to emulsify and rinse.,In Stock,9999,A gentle enzyme cleansing balm that transforms from sherbet to oil to milk. Deeply cleanses pores and removes waterproof makeup without stripping skin.,"[""assets/images/products/PRD-SK-BALM-01/Description-Images/1.webp"",""assets/images/products/PRD-SK-BALM-01/Description-Images/2.webp"",""assets/images/products/PRD-SK-BALM-01/Description-Images/3.webp"",""assets/images/products/PRD-SK-BALM-01/Description-Images/4.webp"",""assets/images/products/PRD-SK-BALM-01/Description-Images/5.webp"",""assets/images/products/PRD-SK-BALM-01/Description-Images/6.webp""]",assets/images/products/PRD-SK-BALM-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-BALM-01/Main-Images/1.webp"",""assets/images/products/PRD-SK-BALM-01/Main-Images/2.webp"",""assets/images/products/PRD-SK-BALM-01/Main-Images/3.webp"",""assets/images/products/PRD-SK-BALM-01/Main-Images/4.webp"",""assets/images/products/PRD-SK-BALM-01/Main-Images/5.webp"",""assets/images/products/PRD-SK-BALM-01/Main-Images/6.webp""]"
PRD-SK-ROSE-01,LINE-ROSE,Skincare,mask,Dermatir Pure Rosemary Calming Mask,dermatir-pure-rosemary-calming-mask,42.00,30.00,150ml,TRUE,"Sensitive, All Types","Soothing, Antioxidant",100% Rosemary Extract,Premium essence made of 100% Rosemary extract to calm skin.,"Soak cotton pad and place on face as a mask, or pat directly.",Out of Stock,0,"Made with 100% Jeju Rosemary extract, brewed for 72 hours. Rich in antioxidants to soothe irritated skin and improve skin barrier texture. Clean beauty favorite.",[],assets/images/products/PRD-SK-ROSE-01/Main-Images/thumb.webp,[]
PRD-SK-SUN-HYDRO,LINE-SUN,Skincare,sunscreen,Hydro UV Shield Sunscreen,hydro-uv-shield-sunscreen,28.00,22.00,50ml,TRUE,"Dry, Normal, Sensitive","UV Protection, Hydration","Birch Sap, Niacinamide, Hyaluronic Acid",Moisturizing sunscreen that feels like a light lotion.,Apply liberally 15 minutes before sun exposure. Reapply every 2 hours.,In Stock,9999,A lightweight essence-like sunscreen that provides strong UV protection without a white cast. Infused with Birch Sap to hydrate skin like a moisturizer making it perfect for dry skin types.,"[""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/1.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/2.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/3.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/4.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/5.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Description-Images/6.webp""]",assets/images/products/PRD-SK-SUN-HYDRO/thumb.webp,"[""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/1.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/2.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/3.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/4.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/5.webp"",""assets/images/products/PRD-SK-SUN-HYDRO/Main-Images/6.webp""]"
PRD-SK-MILK-03,LINE-MILK,Skincare,cleanser,Milk Creamy Foam Cleanser,milk-creamy-foam-cleanser,18.00,14.00,150ml,TRUE,"Dry, Sensitive, All","Deep Cleanse, Hydration","Milk Extract, Amino Acids",A gentle creamy foam cleanser.,Lather with water and massage face.,In Stock,9999,"Achieve a Deep, Hydrating Cleanse

Discover the TIRTIR Milk Creamy Foam Cleanser, a unique 3-step cream cheese mask-to-foam cleanser designed to deliver a thorough yet gentle cleanse with a hydrating, milky finish. This innovative formula, whipped 5,000 times, transforms your cleansing routine into a luxurious, sensorial experience.","[""assets/images/products/PRD-SK-MILK-03/Description-Images/1.webp"",""assets/images/products/PRD-SK-MILK-03/Description-Images/2.webp"",""assets/images/products/PRD-SK-MILK-03/Description-Images/3.webp""]",assets/images/products/PRD-SK-MILK-03/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-MILK-03/Main-Images/1.webp"",""assets/images/products/PRD-SK-MILK-03/Main-Images/2.webp"",""assets/images/products/PRD-SK-MILK-03/Main-Images/3.webp"",""assets/images/products/PRD-SK-MILK-03/Main-Images/4.webp"",""assets/images/products/PRD-SK-MILK-03/Main-Images/5.webp""]"
PRD-SK-MATCHA-01,LINE-MATCHA,Skincare,toner,Matcha Skin Toner,matcha-skin-toner,22.00,18.00,150ml,TRUE,"Oily, Acne, Sensitive","Soothing, Sebum Control","Jeju Matcha, LHA",Soothing toner for oily skin.,Apply to cotton pad and wipe skin.,In Stock,9999,"Matcha Latte for Your Skin

Soothe and hydrate with the TIRTIR Matcha Calming Toner—infused with 10,000 ppm Matcha-PDRN and a Soymilk Complex for deep nourishment and moisture balance. This mildly acidic, non-irritating formula calms redness, restores skin’s natural pH, and absorbs quickly with Micro Dipping Tech for an even, refreshed complexion.","[""assets/images/products/PRD-SK-MATCHA-01/Description-Images/1.webp"",""assets/images/products/PRD-SK-MATCHA-01/Description-Images/2.webp"",""assets/images/products/PRD-SK-MATCHA-01/Description-Images/3.webp"",""assets/images/products/PRD-SK-MATCHA-01/Description-Images/4.webp"",""assets/images/products/PRD-SK-MATCHA-01/Description-Images/5.webp""]",assets/images/products/PRD-SK-MATCHA-01/Main-Images/thumb.webp,"[""assets/images/products/PRD-SK-MATCHA-01/Main-Images/1.webp"",""assets/images/products/PRD-SK-MATCHA-01/Main-Images/2.webp"",""assets/images/products/PRD-SK-MATCHA-01/Main-Images/3.webp"",""assets/images/products/PRD-SK-MATCHA-01/Main-Images/4.webp"",""assets/images/products/PRD-SK-MATCHA-01/Main-Images/5.webp""]"
PRD-SK-MATCHA-02,LINE-MATCHA,Skincare,cream,Matcha Calming Cream,matcha-calming-cream,28.00,22.00,50ml,TRUE,"Oily, Combination","Soothing, Hydration","Matcha Extract, Panthenol",Non-sticky gel moisturizer.,Apply as last step of skincare.,In Stock,9999,"Soothing Strength, All Day Long

The TIRTIR Matcha Calming Cream is a bouncy pudding-textured moisturizer that wraps the skin in soothing care while boosting firmness and elasticity. Infused with 10,000 ppm Matcha-PDRN, vegan collagen, and 13 peptides, it calms redness, strengthens the skin barrier, and delivers 24-hour hydration. Lightweight yet cushioning, it’s perfect for sensitive skin that needs both comfort and resilience.","[""assets/images/products/PRD-SK-MATCHA-02/Description-Images/1.webp"",""assets/images/products/PRD-SK-MATCHA-02/Description-Images/2.webp"",""assets/images/products/PRD-SK-MATCHA-02/Description-Images/3.webp"",""assets/images/products/PRD-SK-MATCHA-02/Description-Images/4.webp""]",assets/images/products/PRD-SK-MATCHA-02/thumb.webp,"[""assets/images/products/PRD-SK-MATCHA-02/1.webp"",""assets/images/products/PRD-SK-MATCHA-02/2.webp"",""assets/images/products/PRD-SK-MATCHA-02/3.webp"",""assets/images/products/PRD-SK-MATCHA-02/4.webp"",""assets/images/products/PRD-SK-MATCHA-02/5.webp"",""assets/images/products/PRD-SK-MATCHA-02/6.webp""]"
